variant,recall@10,mean_expansions,mean_dist_evals,p50_ns,p95_ns,early_pct
fixed_ef=32,0.6152,32.00,963.38,43292,59625,100.0
fixed_ef=64,0.8016,64.00,1717.23,80333,100166,100.0
fixed_ef=128,0.9198,128.00,2982.43,156208,190500,100.0
ratio=1.05,0.5390,24.40,766.55,63042,88209,100.0
ratio=1.10,0.7268,46.30,1306.45,91084,135167,100.0
ratio=1.20,0.9560,187.05,3917.60,252500,334417,100.0
quantile_p=0.50,0.4346,16.77,564.23,45417,58000,100.0
quantile_p=0.75,0.4304,16.55,558.22,46125,61792,100.0
quantile_p=0.90,0.4264,16.41,554.59,46291,57125,100.0
